TD_Mean,TD_Std,TD_Max,TD_Min,TD_PeakToPeak,TD_RMS,FD_MeanSpectrum,FD_MaxSpectrum,FD_DominantFrequencyIndex,STAT_Mean,STAT_Std,STAT_Median,STAT_Skewness,STAT_Kurtosis
4.7504323122529645e-06,4.309710101681437e-05,0.0002163939393939,-0.0001758181818181,0.0003922121212121,4.335812176751664e-05,0.0003186407082793,0.0046911212121212,1.0,4.750432284914784e-06,4.309710097451435e-05,6.090909209888196e-06,-0.1090502084347475,1.2547207837114769
-2.9866541972520235e-06,3.756616039539675e-05,0.0001851515151515,-0.0001336969696969,0.0003188484848484,3.768469862088111e-05,0.0003010545663375,0.0053632121212121,0.0,-2.986654210283108e-06,3.7566160410042995e-05,-2.939393880296848e-06,0.1412135348876229,0.3959199668508146
-1.757365189158667e-05,4.928291208968009e-05,0.0002700303030303,-0.0002196363636363,0.0004896666666666,5.232244895688469e-05,0.0003664827311941,0.0116644545454545,0.0,-1.7573651880440784e-05,4.9282912097305656e-05,-1.3863636468158802e-05,0.0282176575527208,0.9026697020590876
1.3532426359872013e-05,4.093610700855775e-05,0.0001774848484848,-0.0001635151515151,0.0003409999999999,4.31148631008084e-05,0.0003097588074013,0.0089052121212121,0.0,1.3532426369130842e-05,4.093610701317536e-05,8.818181413516868e-06,0.4941532216915436,0.288168031234421
-3.0201178124411814e-05,4.242305745962301e-05,0.0001007272727272,-0.0001673636363636,0.0002680909090909,5.2075204889898666e-05,0.0003490979326236,0.0088935454545454,0.0,-3.0201178144938645e-05,4.2423057475802706e-05,-3.063636540900916e-05,0.034160461074774,-0.494089257227488
-4.282360189629211e-05,4.909707505628146e-05,0.0001191212121212,-0.0002117272727272,0.0003308484848484,6.514893443836399e-05,0.0003988644281892,0.011619909090909,0.0,-4.282360188115393e-05,4.909707504770472e-05,-3.992424353782553e-05,-0.1579405296903296,-0.2016389165281671
-2.699891774891775e-05,4.6406845820992783e-05,8.954545454545454e-05,-0.000224,0.0003135454545454,5.368926241499525e-05,0.0003686375776764,0.0090204242424242,0.0,-2.699891775507548e-05,4.640684582676472e-05,-1.8303029719390903e-05,-0.8248377639028478,0.5505529844140202
-8.832992188970464e-08,5.406139783794028e-05,0.0002501515151515,-0.0001659393939393,0.0004160909090909,5.406146999820811e-05,0.0003544721468691,0.0095015565743878,2.0,-8.832991904710568e-08,5.406139784690698e-05,-6.939394097571494e-06,0.7467476752660497,1.318892290139997
-1.2373314864483344e-05,4.726251099700276e-05,0.0001681515151515,-0.0002080909090909,0.0003762424242424,4.885533611057702e-05,0.0003405195125599,0.0140406363636363,0.0,-1.2373314869938916e-05,4.7262510999359054e-05,-8.909090865927283e-06,-0.1439587724759568,0.3964489441784007
-1.0204027856201769e-05,4.1921092185685816e-05,0.0001364545454545,-0.0001531515151515,0.000289606060606,4.314510580043709e-05,0.0003244994402303,0.0081873939393939,0.0,-1.0204027868917864e-05,4.1921092173766104e-05,-5.818181762151653e-06,-0.3305590791723005,-0.425057993436464
3.306159420289855e-05,4.961880227696475e-05,0.0002288787878787,-0.0001902727272727,0.0004191515151515,5.962461363092979e-05,0.0003812887353045,0.0149344848484848,0.0,3.306159420040544e-05,4.961880229185597e-05,2.7909090931643732e-05,0.43159624061406,0.1068036050843348
-9.135707815734989e-06,4.925862169826981e-05,0.0002245454545454,-0.0001450606060606,0.000369606060606,5.009863240556311e-05,0.0003296740650853,0.0114538181818181,0.0,-9.13570782167188e-06,4.925862168116137e-05,-1.0333333193557335e-05,0.2343842099732755,0.1330382572376067
